func,nthreads,iter,size,align,reuse,val,init,time_ns
erms,1,8192,1048576,0,0,0,w,344104584
temporal,1,8192,1048576,0,0,0,w,485377089
non_temporal,1,8192,1048576,0,0,0,w,450881120
erms,1,8192,1048576,0,0,0,wz,354363819
temporal,1,8192,1048576,0,0,0,wz,439046149
non_temporal,1,8192,1048576,0,0,0,wz,450974138
erms,1,8192,1048576,0,0,0,r,325713206
temporal,1,8192,1048576,0,0,0,r,484615664
non_temporal,1,8192,1048576,0,0,0,r,452252910
erms,1,8192,1048576,0,0,1,w,326262453
temporal,1,8192,1048576,0,0,1,w,398661065
non_temporal,1,8192,1048576,0,0,1,w,450885420
erms,1,8192,1048576,0,0,1,wz,324531954
temporal,1,8192,1048576,0,0,1,wz,439794887
non_temporal,1,8192,1048576,0,0,1,wz,451363794
erms,1,8192,1048576,0,0,1,r,325489508
temporal,1,8192,1048576,0,0,1,r,503994885
non_temporal,1,8192,1048576,0,0,1,r,451684322
erms,1,8192,1048576,0,1,0,w,362143328
temporal,1,8192,1048576,0,1,0,w,467846049
non_temporal,1,8192,1048576,0,1,0,w,450799113
erms,1,8192,1048576,0,1,0,wz,356856872
temporal,1,8192,1048576,0,1,0,wz,439700899
non_temporal,1,8192,1048576,0,1,0,wz,451328027
erms,1,8192,1048576,0,1,0,r,325898519
temporal,1,8192,1048576,0,1,0,r,484844762
non_temporal,1,8192,1048576,0,1,0,r,451416389
erms,1,8192,1048576,0,1,1,w,357974431
temporal,1,8192,1048576,0,1,1,w,439958467
non_temporal,1,8192,1048576,0,1,1,w,450951616
erms,1,8192,1048576,0,1,1,wz,326884054
temporal,1,8192,1048576,0,1,1,wz,437198816
non_temporal,1,8192,1048576,0,1,1,wz,450892096
erms,1,8192,1048576,0,1,1,r,323765517
temporal,1,8192,1048576,0,1,1,r,485177443
non_temporal,1,8192,1048576,0,1,1,r,451453279
erms,1,4096,2097152,0,0,0,w,362112973
temporal,1,4096,2097152,0,0,0,w,440941185
non_temporal,1,4096,2097152,0,0,0,w,450465555
erms,1,4096,2097152,0,0,0,wz,329220939
temporal,1,4096,2097152,0,0,0,wz,438033586
non_temporal,1,4096,2097152,0,0,0,wz,450462266
erms,1,4096,2097152,0,0,0,r,328735089
temporal,1,4096,2097152,0,0,0,r,410920732
non_temporal,1,4096,2097152,0,0,0,r,450854799
erms,1,4096,2097152,0,0,1,w,329103953
temporal,1,4096,2097152,0,0,1,w,438147357
non_temporal,1,4096,2097152,0,0,1,w,450451046
erms,1,4096,2097152,0,0,1,wz,327459584
temporal,1,4096,2097152,0,0,1,wz,438037938
non_temporal,1,4096,2097152,0,0,1,wz,451899607
erms,1,4096,2097152,0,0,1,r,328796268
temporal,1,4096,2097152,0,0,1,r,438563032
non_temporal,1,4096,2097152,0,0,1,r,450908842
erms,1,4096,2097152,0,1,0,w,329245202
temporal,1,4096,2097152,0,1,0,w,398910679
non_temporal,1,4096,2097152,0,1,0,w,450424852
erms,1,4096,2097152,0,1,0,wz,327245068
temporal,1,4096,2097152,0,1,0,wz,408826723
non_temporal,1,4096,2097152,0,1,0,wz,450331021
erms,1,4096,2097152,0,1,0,r,328587245
temporal,1,4096,2097152,0,1,0,r,438085271
non_temporal,1,4096,2097152,0,1,0,r,450812206
erms,1,4096,2097152,0,1,1,w,324863626
temporal,1,4096,2097152,0,1,1,w,440689837
non_temporal,1,4096,2097152,0,1,1,w,450307688
erms,1,4096,2097152,0,1,1,wz,362125901
temporal,1,4096,2097152,0,1,1,wz,438071117
non_temporal,1,4096,2097152,0,1,1,wz,450885604
erms,1,4096,2097152,0,1,1,r,326995734
temporal,1,4096,2097152,0,1,1,r,440907711
non_temporal,1,4096,2097152,0,1,1,r,451366715
erms,1,2048,4194304,0,0,0,w,330334376
temporal,1,2048,4194304,0,0,0,w,438219676
non_temporal,1,2048,4194304,0,0,0,w,450813795
erms,1,2048,4194304,0,0,0,wz,364324433
temporal,1,2048,4194304,0,0,0,wz,485211117
non_temporal,1,2048,4194304,0,0,0,wz,450020033
erms,1,2048,4194304,0,0,0,r,328215599
temporal,1,2048,4194304,0,0,0,r,438246787
non_temporal,1,2048,4194304,0,0,0,r,450839743
erms,1,2048,4194304,0,0,1,w,328759487
temporal,1,2048,4194304,0,0,1,w,465096919
non_temporal,1,2048,4194304,0,0,1,w,450174109
erms,1,2048,4194304,0,0,1,wz,328850259
temporal,1,2048,4194304,0,0,1,wz,401275964
non_temporal,1,2048,4194304,0,0,1,wz,450052703
erms,1,2048,4194304,0,0,1,r,330653920
temporal,1,2048,4194304,0,0,1,r,487052818
non_temporal,1,2048,4194304,0,0,1,r,450682318
erms,1,2048,4194304,0,1,0,w,328873155
temporal,1,2048,4194304,0,1,0,w,482892553
non_temporal,1,2048,4194304,0,1,0,w,450128465
erms,1,2048,4194304,0,1,0,wz,364368502
temporal,1,2048,4194304,0,1,0,wz,440894869
non_temporal,1,2048,4194304,0,1,0,wz,450193421
erms,1,2048,4194304,0,1,0,r,364244769
temporal,1,2048,4194304,0,1,0,r,429539774
non_temporal,1,2048,4194304,0,1,0,r,450413213
erms,1,2048,4194304,0,1,1,w,330708092
temporal,1,2048,4194304,0,1,1,w,438253844
non_temporal,1,2048,4194304,0,1,1,w,450626291
erms,1,2048,4194304,0,1,1,wz,328890474
temporal,1,2048,4194304,0,1,1,wz,440853128
non_temporal,1,2048,4194304,0,1,1,wz,450230078
erms,1,2048,4194304,0,1,1,r,330888537
temporal,1,2048,4194304,0,1,1,r,438127147
non_temporal,1,2048,4194304,0,1,1,r,450906720
erms,1,1024,8388608,0,0,0,w,329735539
temporal,1,1024,8388608,0,0,0,w,441013470
non_temporal,1,1024,8388608,0,0,0,w,450245708
erms,1,1024,8388608,0,0,0,wz,329303647
temporal,1,1024,8388608,0,0,0,wz,438310530
non_temporal,1,1024,8388608,0,0,0,wz,450145682
erms,1,1024,8388608,0,0,0,r,366928903
temporal,1,1024,8388608,0,0,0,r,441469525
non_temporal,1,1024,8388608,0,0,0,r,450644296
erms,1,1024,8388608,0,0,1,w,365593373
temporal,1,1024,8388608,0,0,1,w,487585701
non_temporal,1,1024,8388608,0,0,1,w,450169894
erms,1,1024,8388608,0,0,1,wz,329098239
temporal,1,1024,8388608,0,0,1,wz,441036616
non_temporal,1,1024,8388608,0,0,1,wz,450509729
erms,1,1024,8388608,0,0,1,r,332532709
temporal,1,1024,8388608,0,0,1,r,488022432
non_temporal,1,1024,8388608,0,0,1,r,451009741
erms,1,1024,8388608,0,1,0,w,365489898
temporal,1,1024,8388608,0,1,0,w,440982065
non_temporal,1,1024,8388608,0,1,0,w,450206882
erms,1,1024,8388608,0,1,0,wz,331606277
temporal,1,1024,8388608,0,1,0,wz,406228565
non_temporal,1,1024,8388608,0,1,0,wz,450215465
erms,1,1024,8388608,0,1,0,r,331041239
temporal,1,1024,8388608,0,1,0,r,441125568
non_temporal,1,1024,8388608,0,1,0,r,450928439
erms,1,1024,8388608,0,1,1,w,365519421
temporal,1,1024,8388608,0,1,1,w,438220888
non_temporal,1,1024,8388608,0,1,1,w,450044988
erms,1,1024,8388608,0,1,1,wz,365484688
temporal,1,1024,8388608,0,1,1,wz,433242638
non_temporal,1,1024,8388608,0,1,1,wz,450410268
erms,1,1024,8388608,0,1,1,r,333008964
temporal,1,1024,8388608,0,1,1,r,438368929
non_temporal,1,1024,8388608,0,1,1,r,451138202
erms,1,512,16777216,0,0,0,w,330189482
temporal,1,512,16777216,0,0,0,w,487299547
non_temporal,1,512,16777216,0,0,0,w,450247731
erms,1,512,16777216,0,0,0,wz,330249459
temporal,1,512,16777216,0,0,0,wz,441123811
non_temporal,1,512,16777216,0,0,0,wz,450683990
erms,1,512,16777216,0,0,0,r,369226222
temporal,1,512,16777216,0,0,0,r,439335889
non_temporal,1,512,16777216,0,0,0,r,452101167
erms,1,512,16777216,0,0,1,w,330380772
temporal,1,512,16777216,0,0,1,w,441286636
non_temporal,1,512,16777216,0,0,1,w,450886504
erms,1,512,16777216,0,0,1,wz,332212175
temporal,1,512,16777216,0,0,1,wz,438479716
non_temporal,1,512,16777216,0,0,1,wz,450860000
erms,1,512,16777216,0,0,1,r,333447177
temporal,1,512,16777216,0,0,1,r,488209042
non_temporal,1,512,16777216,0,0,1,r,451826947
erms,1,512,16777216,0,1,0,w,332143072
temporal,1,512,16777216,0,1,0,w,441133304
non_temporal,1,512,16777216,0,1,0,w,450321873
erms,1,512,16777216,0,1,0,wz,330280566
temporal,1,512,16777216,0,1,0,wz,441292094
non_temporal,1,512,16777216,0,1,0,wz,450361997
erms,1,512,16777216,0,1,0,r,334316919
temporal,1,512,16777216,0,1,0,r,438839097
non_temporal,1,512,16777216,0,1,0,r,451328086
erms,1,512,16777216,0,1,1,w,330425545
temporal,1,512,16777216,0,1,1,w,441288769
non_temporal,1,512,16777216,0,1,1,w,450441716
erms,1,512,16777216,0,1,1,wz,330237445
temporal,1,512,16777216,0,1,1,wz,487659744
non_temporal,1,512,16777216,0,1,1,wz,450442389
erms,1,512,16777216,0,1,1,r,369212295
temporal,1,512,16777216,0,1,1,r,407921704
non_temporal,1,512,16777216,0,1,1,r,462346885
erms,1,500,33554432,0,0,0,w,716588267
temporal,1,500,33554432,0,0,0,w,1145182509
non_temporal,1,500,33554432,0,0,0,w,879651334
erms,1,500,33554432,0,0,0,wz,1020713778
temporal,1,500,33554432,0,0,0,wz,1425157343
non_temporal,1,500,33554432,0,0,0,wz,878885978
erms,1,500,33554432,0,0,0,r,1005604451
temporal,1,500,33554432,0,0,0,r,1403205051
non_temporal,1,500,33554432,0,0,0,r,881918171
erms,1,500,33554432,0,0,1,w,963034043
temporal,1,500,33554432,0,0,1,w,1214655330
non_temporal,1,500,33554432,0,0,1,w,880318771
erms,1,500,33554432,0,0,1,wz,1014485378
temporal,1,500,33554432,0,0,1,wz,1435039477
non_temporal,1,500,33554432,0,0,1,wz,879300312
erms,1,500,33554432,0,0,1,r,970609384
temporal,1,500,33554432,0,0,1,r,1280238141
non_temporal,1,500,33554432,0,0,1,r,881857007
erms,1,500,33554432,0,1,0,w,1038259260
temporal,1,500,33554432,0,1,0,w,1427761002
non_temporal,1,500,33554432,0,1,0,w,878963421
erms,1,500,33554432,0,1,0,wz,955135765
temporal,1,500,33554432,0,1,0,wz,1405175127
non_temporal,1,500,33554432,0,1,0,wz,878917014
erms,1,500,33554432,0,1,0,r,1017462457
temporal,1,500,33554432,0,1,0,r,1412422506
non_temporal,1,500,33554432,0,1,0,r,881802853
erms,1,500,33554432,0,1,1,w,1068628936
temporal,1,500,33554432,0,1,1,w,1376419657
non_temporal,1,500,33554432,0,1,1,w,878927667
erms,1,500,33554432,0,1,1,wz,797736793
temporal,1,500,33554432,0,1,1,wz,1396714193
non_temporal,1,500,33554432,0,1,1,wz,879367499
erms,1,500,33554432,0,1,1,r,1010175067
temporal,1,500,33554432,0,1,1,r,1391549112
non_temporal,1,500,33554432,0,1,1,r,882041099
erms,1,500,67108864,0,0,0,w,6147011951
temporal,1,500,67108864,0,0,0,w,4038845210
non_temporal,1,500,67108864,0,0,0,w,1757005755
erms,1,500,67108864,0,0,0,wz,6175101416
temporal,1,500,67108864,0,0,0,wz,4087517938
