func,nthreads,iter,size,align,reuse,val,init,time_ns
erms,1,8192,1048576,0,0,0,w,385180371
temporal,1,8192,1048576,0,0,0,w,440729224
non_temporal,1,8192,1048576,0,0,0,w,529340600
erms,1,8192,1048576,0,0,0,wz,387629076
temporal,1,8192,1048576,0,0,0,wz,440734231
non_temporal,1,8192,1048576,0,0,0,wz,529404248
erms,1,8192,1048576,0,0,0,r,357733265
temporal,1,8192,1048576,0,0,0,r,441318508
non_temporal,1,8192,1048576,0,0,0,r,529859901
erms,1,8192,1048576,0,0,1,w,356116230
temporal,1,8192,1048576,0,0,1,w,474526248
non_temporal,1,8192,1048576,0,0,1,w,529490696
erms,1,8192,1048576,0,0,1,wz,387107909
temporal,1,8192,1048576,0,0,1,wz,440100139
non_temporal,1,8192,1048576,0,0,1,wz,529272715
erms,1,8192,1048576,0,0,1,r,355760547
temporal,1,8192,1048576,0,0,1,r,474210829
non_temporal,1,8192,1048576,0,0,1,r,529864205
erms,1,8192,1048576,0,1,0,w,392262975
temporal,1,8192,1048576,0,1,0,w,470257464
non_temporal,1,8192,1048576,0,1,0,w,529461923
erms,1,8192,1048576,0,1,0,wz,386426284
temporal,1,8192,1048576,0,1,0,wz,440694244
non_temporal,1,8192,1048576,0,1,0,wz,529258288
erms,1,8192,1048576,0,1,0,r,355671679
temporal,1,8192,1048576,0,1,0,r,474456403
non_temporal,1,8192,1048576,0,1,0,r,529835937
erms,1,8192,1048576,0,1,1,w,345452250
temporal,1,8192,1048576,0,1,1,w,478847393
non_temporal,1,8192,1048576,0,1,1,w,529364812
erms,1,8192,1048576,0,1,1,wz,392377541
temporal,1,8192,1048576,0,1,1,wz,440462569
non_temporal,1,8192,1048576,0,1,1,wz,530043959
erms,1,8192,1048576,0,1,1,r,355806593
temporal,1,8192,1048576,0,1,1,r,473942768
non_temporal,1,8192,1048576,0,1,1,r,529630552
erms,1,4096,2097152,0,0,0,w,396782068
temporal,1,4096,2097152,0,0,0,w,440644170
non_temporal,1,4096,2097152,0,0,0,w,528933927
erms,1,4096,2097152,0,0,0,wz,396346325
temporal,1,4096,2097152,0,0,0,wz,440877071
non_temporal,1,4096,2097152,0,0,0,wz,528874884
erms,1,4096,2097152,0,0,0,r,360450686
temporal,1,4096,2097152,0,0,0,r,443309521
non_temporal,1,4096,2097152,0,0,0,r,530002750
erms,1,4096,2097152,0,0,1,w,396755007
temporal,1,4096,2097152,0,0,1,w,440563275
non_temporal,1,4096,2097152,0,0,1,w,528906298
erms,1,4096,2097152,0,0,1,wz,359326349
temporal,1,4096,2097152,0,0,1,wz,440916529
non_temporal,1,4096,2097152,0,0,1,wz,528904127
erms,1,4096,2097152,0,0,1,r,361032178
temporal,1,4096,2097152,0,0,1,r,447204404
non_temporal,1,4096,2097152,0,0,1,r,529832901
erms,1,4096,2097152,0,1,0,w,397116296
temporal,1,4096,2097152,0,1,0,w,440261387
non_temporal,1,4096,2097152,0,1,0,w,528946777
erms,1,4096,2097152,0,1,0,wz,359032820
temporal,1,4096,2097152,0,1,0,wz,478607078
non_temporal,1,4096,2097152,0,1,0,wz,528858546
erms,1,4096,2097152,0,1,0,r,359646153
temporal,1,4096,2097152,0,1,0,r,441593486
non_temporal,1,4096,2097152,0,1,0,r,530114786
erms,1,4096,2097152,0,1,1,w,391889168
temporal,1,4096,2097152,0,1,1,w,479243389
non_temporal,1,4096,2097152,0,1,1,w,529345578
erms,1,4096,2097152,0,1,1,wz,396920935
temporal,1,4096,2097152,0,1,1,wz,440532410
non_temporal,1,4096,2097152,0,1,1,wz,528822975
erms,1,4096,2097152,0,1,1,r,359927786
temporal,1,4096,2097152,0,1,1,r,479949284
non_temporal,1,4096,2097152,0,1,1,r,530003833
erms,1,2048,4194304,0,0,0,w,399507523
temporal,1,2048,4194304,0,0,0,w,440573063
non_temporal,1,2048,4194304,0,0,0,w,528825480
erms,1,2048,4194304,0,0,0,wz,360678244
temporal,1,2048,4194304,0,0,0,wz,474406849
non_temporal,1,2048,4194304,0,0,0,wz,528730151
erms,1,2048,4194304,0,0,0,r,362430448
temporal,1,2048,4194304,0,0,0,r,480756604
non_temporal,1,2048,4194304,0,0,0,r,530859726
erms,1,2048,4194304,0,0,1,w,360628634
temporal,1,2048,4194304,0,0,1,w,478980316
non_temporal,1,2048,4194304,0,0,1,w,528679435
erms,1,2048,4194304,0,0,1,wz,360800274
temporal,1,2048,4194304,0,0,1,wz,445782920
non_temporal,1,2048,4194304,0,0,1,wz,528672747
erms,1,2048,4194304,0,0,1,r,394428763
temporal,1,2048,4194304,0,0,1,r,442514135
non_temporal,1,2048,4194304,0,0,1,r,531616870
