func,nthreads,iter,size,align,reuse,val,init,time_ns
erms,1,8192,1048576,0,0,0,w,309184962
temporal,1,8192,1048576,0,0,0,w,209095682
non_temporal,1,8192,1048576,0,0,0,w,1188081405
erms,1,8192,1048576,0,0,0,wz,313326974
temporal,1,8192,1048576,0,0,0,wz,226762333
non_temporal,1,8192,1048576,0,0,0,wz,1201591377
erms,1,8192,1048576,0,0,0,r,303426916
temporal,1,8192,1048576,0,0,0,r,219606348
non_temporal,1,8192,1048576,0,0,0,r,1187860841
erms,1,8192,1048576,0,0,1,w,314834604
temporal,1,8192,1048576,0,0,1,w,179607750
non_temporal,1,8192,1048576,0,0,1,w,1187751417
erms,1,8192,1048576,0,0,1,wz,311773034
temporal,1,8192,1048576,0,0,1,wz,202907377
non_temporal,1,8192,1048576,0,0,1,wz,1200481353
erms,1,8192,1048576,0,0,1,r,300227730
temporal,1,8192,1048576,0,0,1,r,203188126
non_temporal,1,8192,1048576,0,0,1,r,1188060753
erms,1,8192,1048576,0,1,0,w,310759984
temporal,1,8192,1048576,0,1,0,w,206730669
non_temporal,1,8192,1048576,0,1,0,w,1195885448
erms,1,8192,1048576,0,1,0,wz,308314992
temporal,1,8192,1048576,0,1,0,wz,202389896
non_temporal,1,8192,1048576,0,1,0,wz,1195873495
erms,1,8192,1048576,0,1,0,r,305211709
temporal,1,8192,1048576,0,1,0,r,216220381
non_temporal,1,8192,1048576,0,1,0,r,1196616758
erms,1,8192,1048576,0,1,1,w,313033327
temporal,1,8192,1048576,0,1,1,w,206014254
non_temporal,1,8192,1048576,0,1,1,w,1195180267
erms,1,8192,1048576,0,1,1,wz,309178867
temporal,1,8192,1048576,0,1,1,wz,216225159
non_temporal,1,8192,1048576,0,1,1,wz,1195622575
erms,1,8192,1048576,0,1,1,r,301846654
temporal,1,8192,1048576,0,1,1,r,218807961
non_temporal,1,8192,1048576,0,1,1,r,1189299413
erms,1,4096,2097152,0,0,0,w,322196610
temporal,1,4096,2097152,0,0,0,w,359169387
non_temporal,1,4096,2097152,0,0,0,w,1199012386
erms,1,4096,2097152,0,0,0,wz,324519407
temporal,1,4096,2097152,0,0,0,wz,345862801
non_temporal,1,4096,2097152,0,0,0,wz,1187807347
erms,1,4096,2097152,0,0,0,r,320877256
temporal,1,4096,2097152,0,0,0,r,342920980
non_temporal,1,4096,2097152,0,0,0,r,1211033920
erms,1,4096,2097152,0,0,1,w,323691788
temporal,1,4096,2097152,0,0,1,w,345299342
non_temporal,1,4096,2097152,0,0,1,w,1191981557
erms,1,4096,2097152,0,0,1,wz,323782416
temporal,1,4096,2097152,0,0,1,wz,356811857
non_temporal,1,4096,2097152,0,0,1,wz,1187769955
erms,1,4096,2097152,0,0,1,r,322429950
temporal,1,4096,2097152,0,0,1,r,359612910
non_temporal,1,4096,2097152,0,0,1,r,1188332480
erms,1,4096,2097152,0,1,0,w,324496977
temporal,1,4096,2097152,0,1,0,w,356162160
non_temporal,1,4096,2097152,0,1,0,w,1187224338
erms,1,4096,2097152,0,1,0,wz,325874629
temporal,1,4096,2097152,0,1,0,wz,341061306
non_temporal,1,4096,2097152,0,1,0,wz,1187591706
erms,1,4096,2097152,0,1,0,r,318302856
temporal,1,4096,2097152,0,1,0,r,354847826
non_temporal,1,4096,2097152,0,1,0,r,1188979748
erms,1,4096,2097152,0,1,1,w,326526426
temporal,1,4096,2097152,0,1,1,w,341126017
non_temporal,1,4096,2097152,0,1,1,w,1209860632
erms,1,4096,2097152,0,1,1,wz,324298118
temporal,1,4096,2097152,0,1,1,wz,340942946
non_temporal,1,4096,2097152,0,1,1,wz,1187010268
erms,1,4096,2097152,0,1,1,r,318969641
temporal,1,4096,2097152,0,1,1,r,357389131
non_temporal,1,4096,2097152,0,1,1,r,1187905114
erms,1,2048,4194304,0,0,0,w,329821464
temporal,1,2048,4194304,0,0,0,w,358335735
non_temporal,1,2048,4194304,0,0,0,w,1187137099
erms,1,2048,4194304,0,0,0,wz,331654187
temporal,1,2048,4194304,0,0,0,wz,342267184
non_temporal,1,2048,4194304,0,0,0,wz,1186928876
erms,1,2048,4194304,0,0,0,r,329963159
temporal,1,2048,4194304,0,0,0,r,343492339
non_temporal,1,2048,4194304,0,0,0,r,1190220414
erms,1,2048,4194304,0,0,1,w,332031051
temporal,1,2048,4194304,0,0,1,w,341221929
non_temporal,1,2048,4194304,0,0,1,w,1188326422
erms,1,2048,4194304,0,0,1,wz,331035893
temporal,1,2048,4194304,0,0,1,wz,342699687
non_temporal,1,2048,4194304,0,0,1,wz,1187075975
